상권명,업종,특징_요약,핵심_고객층,시장_유형,평균_재방문율(%),평균_신규방문율(%)
건대입구,동남아/인도음식,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(32.3%) 비중이 높은 곳입니다.",남성 30대 (21.0%),유동인구 중심 (55.8%),32.31,7.38
금남시장,건강식품,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(17.6%) 비중이 높은 곳입니다.",여성 60대이상 (35.9%),거주 중심 (83.4%),17.6,8.49
금남시장,건강원,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 신규 고객(9.3%) 유입이 활발한 곳입니다.",여성 60대이상 (24.4%),거주 중심 (56.7%),8.98,9.3
금남시장,건어물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(35.0%) 비중이 높은 곳입니다.",여성 60대이상 (38.7%),거주 중심 (76.4%),35.01,6.21
금남시장,농산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.4%) 비중이 높은 곳입니다.",여성 60대이상 (30.8%),거주 중심 (56.6%),28.37,8.37
금남시장,담배,"남성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(23.0%) 비중이 높은 곳입니다.",남성 30대 (25.1%),거주 중심 (61.1%),22.97,7.19
금남시장,동남아/인도음식,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.4%) 비중이 높은 곳입니다.","여성 30대 (14.9%), 여성 40대 (16.4%)",거주 중심 (62.7%),28.37,8.46
금남시장,떡/한과 제조,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.3%) 비중이 높은 곳입니다.",여성 60대이상 (24.9%),거주 중심 (73.7%),33.32,6.39
금남시장,룸살롱/단란주점,"남성 60대이상이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(26.0%) 비중이 높은 곳입니다.",남성 60대이상 (37.0%),유동인구 중심 (48.5%),26.03,9.32
금남시장,마카롱,"여성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(23.1%) 비중이 높은 곳입니다.",여성 30대 (20.5%),거주 중심 (63.9%),23.08,8.41
금남시장,미곡상,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.5%) 비중이 높은 곳입니다.",여성 60대이상 (36.3%),거주 중심 (76.8%),33.51,6.55
금남시장,반찬,"여성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(36.8%) 비중이 높은 곳입니다.",여성 50대 (20.1%),거주 중심 (59.5%),36.81,6.2
금남시장,백반/가정식,"남성 50대, 남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(25.6%) 비중이 높은 곳입니다.","남성 50대 (17.6%), 남성 60대이상 (16.5%)",거주 중심 (55.7%),25.63,8.21
금남시장,베이커리,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(31.5%) 비중이 높은 곳입니다.","여성 30대 (16.6%), 여성 40대 (15.3%)",거주 중심 (68.7%),31.48,11.82
금남시장,분식,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.4%) 비중이 높은 곳입니다.","여성 30대 (15.7%), 여성 40대 (14.9%)",거주 중심 (64.0%),33.41,9.12
금남시장,샌드위치/토스트,"여성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(34.3%) 비중이 높은 곳입니다.",여성 30대 (16.2%),거주 중심 (62.1%),34.26,5.99
금남시장,수산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(37.2%) 비중이 높은 곳입니다.",여성 60대이상 (43.6%),거주 중심 (68.8%),37.23,5.96
금남시장,식료품,"여성 50대, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(43.5%) 비중이 높은 곳입니다.","여성 50대 (15.2%), 여성 60대이상 (17.0%)",거주 중심 (58.9%),43.45,9.08
금남시장,식품 제조,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(26.0%) 비중이 높은 곳입니다.",여성 60대이상 (27.1%),거주 중심 (62.0%),25.96,8.01
